"","TRAF4","CDH1","CDH2","VIM","FN1","ZEB1","ZEB2","SNAI1","SNAI2","SNAI3","TWIST1","TWIST2"
"TCGA.A6.6138.01A.11R.1774.07",-0.512996352037581,1.85324539071331,-0.326805366437559,0.345473531852847,-0.315080048637383,0.134917075573599,0.364425669734459,0.178595586830326,0.0814882652192874,-0.182097761057413,-0.437790932103868,0.159610056866942
"TCGA.DM.A1D6.01A.21R.A155.07",-0.504312323764048,-0.380492548143835,-0.54078061380124,-0.984801289809319,-0.659006411985704,-0.759732876586992,-0.882737965055445,-0.714344902725041,-0.719515228932991,-0.888817798431103,-0.483742951623117,-0.746343412822475
"TCGA.D5.6540.01A.11R.1723.07",-0.502518478664203,-0.659192423635217,-0.144893529978467,-0.109253976623327,-0.0872564111445953,-0.572911636545431,-0.379403814595833,-0.099704576888357,0.330175392605633,0.0514711493621766,-0.284678158970567,0.117664742058967
"TCGA.F4.6463.01A.11R.1723.07",-0.501726516647042,-0.0198088260884478,0.986887591556828,0.240075112601884,0.703870414580022,0.653690481980757,0.241650797322366,0.84968581934619,-0.0219237239121156,-0.320934543634809,-0.177518563801055,0.517393206358208
"TCGA.A6.A567.01A.31R.A28H.07",-0.494327438224523,-0.255838519079661,0.26990530851337,-0.486241489532318,-0.464913440041141,0.242305204634499,-0.447060389355395,-0.347778692600963,-0.400755177840815,-0.649490338025027,-0.169181238455552,-0.431401773962756
"TCGA.D5.7000.01A.11R.A32Z.07",-0.485536318960864,-0.109705642360505,-0.173929272235328,-0.065467677933783,-0.206236179061185,0.0829167228741924,0.0437840311144907,-0.517395812145765,0.385329513520322,-0.228065319981792,-0.459497865871274,0.383181600031733
"TCGA.G4.6293.01A.11R.1723.07",-0.479578565959818,0.628165703717383,-0.586799059995901,-0.359974063724702,-0.590919762485045,-0.0933916056126507,-0.27303550608095,-0.976416227212851,-0.133674951463099,0.629305815425438,-0.577912908179442,-0.55371994038761
"TCGA.G4.6303.01A.11R.1774.07",-0.476553174473532,0.269034538858524,-0.347095686629208,-0.221765478277244,-0.340925460446927,0.220327525345494,0.0955494286708194,-0.372806406153104,-0.306056755380923,-0.540831541828421,-0.15835557424078,0.57663426299495
"TCGA.D5.6932.01A.11R.1928.07",-0.458294870809614,0.456624990247028,-0.126368761706102,0.467267788458637,0.227429397038318,-0.161825185015916,-0.135798316215473,-0.0119601245835467,-0.116901070609287,-0.592913247835225,-0.198705355970554,0.646746928781204
"TCGA.A6.6781.01A.22R.1928.07",-0.451064950701735,-1.64828453455389,3.44226099483914,3.19897358700761,4.08222360350642,0.834728482935903,1.92686714272433,0.00780433035445889,1.60375074783271,3.06986421840748,1.56407652977958,1.77908616403467
